979917,385550
508192,586848
124121,133557
692101,476750
217835,17118
651726,413629
183800,29006
752176,380952
239685,662680
670451,104430
144396,475236
564907,685487
105455,157388
689906,496162
164219,3966
679508,454305
233284,668938
800535,122721
399250,434797
926588,8815
453793,414068
797440,627565
316905,141085
882018,493865
408370,33613
985636,336352
582657,636105
145740,76999
696972,436601
170381,23021
575767,430429
97011,630302
666084,87614
192434,414586
529031,641211
1392,89915
482961,479579
791743,685481
284262,151120
831772,473696
317099,649744
797144,184710
306289,466836
580244,667517
127828,185223
672468,516819
289498,26228
835119,438444
339617,678895
777968,157383
299239,447507
767822,35727
287722,434618
874887,19106
457199,430135
5542,671923
501045,163545
66147,485104
636921,35847
61374,359061
558203,597046
995894,82027
515327,402119
751938,662190
275823,145334
742905,497018
236718,24634
818259,390661
394928,6145
917133,376751
476590,618440
11427,90883
535535,401404
40284,668316
560045,92378
106674,353165
603947,688389
51432,153003
622761,508029
174141,681183
637544,129737
184565,460526
640340,653890
123897,89255
677459,364842
218670,638460
740945,161449
280708,442366
681483,645071
209845,139828
697030,472567
187656,672750
671043,108300
212285,461145
604516,672433
104507,117103
656934,413154
105713,32257
534372,361945
36682,596055
520035,79951
98688,388010
534196,569610
97315,52497
537323,399896
42194,676318
613539,136602
197666,498189
574690,635351
228125,128515
794719,464281
360050,699398
823323,152080
421667,515327
910931,38042
384884,387648
705598,655707
307351,161874
810551,485463
284394,25183
775539,438619
308122,626955
949290,74768
448746,430941
793932,613503
315844,95888
760261,473301
311059,672069
801912,217310
306111,533973
808878,27398
371214,382752
720413,635212
167092,179652
655633,464535
156927,680472
684869,170580
132523,530586
698104,101882
196853,479001
716394,2478
354593,289191
739712,624699
294414,74513
732980,452927
227004,2002
696171,361428
201481,626301
748639,118738
353586,511536
911439,16526
393086,366912
728577,677386
339111,146158
814773,473965
331249,6890
812323,342748
224794,570255
807830,30008
286563,361862
657874,615141
192917,57001
712447,413505
244698,633768
697070,98300
216581,451941
665566,24587
244300,402712
537405,575352
936031,65640
504044,411826
89448,569182
648793,83085
214413,415597
584453,606295
136719,99000
624307,353504
251572,637160
708830,163300
220923,436814
634840,664868
152875,156291
675271,528697
205681,678221
758003,200594
290833,570198
871324,112285
445784,433024
3532,649919
511354,169595
44596,540497
557756,70910
113886,423937
602803,665188
147293,73210
592118,404977
8519,45940
477976,415029
59441,682176
559962,84272
960664,486761
482297,684011
995389,154639
544562,451609
119140,1057
653140,342148
58060,591356
648850,131646
128114,471965
667443,30573
153757,409933
570870,679082
177156,141900
714772,458413
308204,623259
895569,140562
392464,489387
737059,698262
299497,157404
874590,495524
386124,662405
931962,153703
489136,442560
783507,668041
269874,137187
792879,466351
370520,665476
932719,65900
485180,415676
782652,679314
340945,133401
836985,395922
350198,661467
871952,92423
305559,456214
728397,53841
228093,451567
836967,38960
269916,421333
776354,15595
353790,400324
676906,627834
233230,104997
816225,449234
366067,694183
833151,141882
374739,496940
27256,39332
509682,412347
42764,644788
529807,172933
949891,474235
521710,667851
949911,161555
440906,527535
47503,698950
636136,182753
116261,528806
604167,69327
95324,438290
628197,612113
185968,59214
762050,463045
261796,674081
764639,118461
196410,450046
722557,73847
289392,399547
722393,28244
217730,369254
706807,631666
235387,125650
755348,423875
274446,666278
712366,137559
293952,484308
636422,691772
172239,188677
735711,470119
232193,690549
741111,121882
286608,470585
643801,694998
179211,113255
753970,418304
334877,650767
833421,209325
269646,522172
804899,65734
283098,414374
630214,617457
189589,148602
776601,511391
243362,28587
812657,419299
357072,696597
857732,193992
371548,477568
720099,682640
275283,182427
682556,479049
138083,640114
684432,152011
243342,458447
845092,836
431899,351969
21753,583053
511815,114172
38865,411447
520533,654910
15780,134389
561025,431261
39094,37429
539656,354581
799032,632347
261351,117521
716175,384292
130296,619527
710116,117844
279074,418091
615316,659460
165321,57322
629415,416179
134134,648307
652409,62542
69118,368254
639822,640496
106027,72683
711006,408068
282290,653680
821486,207621
307673,474744
828483,29824
350697,401377
654864,652553
219533,151931
780193,536006
344596,14140
897966,409566
435770,39420
996474,343625
432192,598569
